Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.333,0.25,-0.2,0.75,0.429,0.0,0.2,0.667,0.0,0.2,0.125,0.185,0.094,0.657,0.241,0.0
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.333,0.0,0.0,0.75,0.286,0.222,0.364,0.133,0.0,0.118,0.105,0.19,0.04,0.115,0.069,0.129,0.257,0.318,0.483,0.221
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.333,0.5,0.167,0.286,1.111,0.158,0.636,0.278,0.174,0.315,0.197,0.153,0.224
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333,0.571,0.545,0.353,0.13,0.423,0.162,0.512,0.262,0.122,0.25,0.157
Philippines,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.6,0.375,0.091,0.0,0.583,-0.105,0.059,0.056,0.316,0.32,0.061,0.086,0.184,0.2,0.259,0.044,0.099,0.128,0.091,0.115,0.271
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.333,0.0,0.5,0.5,0.444,0.0,0.846,0.333,0.062,0.206,0.268,0.25,0.108,0.069,0.169,0.156,0.183,0.13
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5,0.667,0.4,1.0,0.286,0.5,0.037,0.214,0.059,0.333,0.208,0.034,0.25,0.24,0.29,0.208
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.333,0.5,0.0,0.333,1.0,0.312,0.333,0.071,0.633,0.184,0.172,0.265,0.256,0.185,0.141,0.082,0.063
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,0.333,0.25,0.2,0.083,0.0,0.231,0.062,0.647,0.0,0.25,0.0,0.2,0.048,0.136,0.06,0.019,0.111,0.1,0.0,0.091,0.042,0.0,0.08,0.037,0.083,0.033,0.085,0.088,0.0,0.081,0.05,0.04,0.061,0.036,0.056,0.039,0.025,0.019,0.024,0.03
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,0.6,0.125,0.333,0.583,0.105,0.19,0.04,0.154,0.267,0.421,0.13,0.049,0.25,0.262,0.079,0.275,0.288
